unit,height,productive,unproductive
P1,102,15,0
P2,105,21,0
P3,103,15,0
P4,100,16,0
P5,102,22,0
P6,103,22,0
P7,100,23,3
P8,98,14,2
P9,100,28,1
P10,102,20,1
P1,102,23,0
P2,100,17,0
P3,105,29,0
P4,102,24,0
P5,101,27,0
P6,103,20,0
P7,100,20,0
P8,103,22,2
P9,102,29,0
P10,101,21,0
P1,100,21,0
P2,102,24,0
P3,100,16,1
P4,105,17,1
P5,102,16,0
P6,100,21,0
P7,101,16,0
P8,104,24,0
P9,107,24,0
P10,104,26,0
P1,98,20,0
P2,100,25,1
P3,99,23,1
P4,101,18,0
P5,99,17,2
P6,100,16,2
P7,102,19,3
P8,97,25,0
P9,100,25,0
P10,98,24,1
P1,101,19,1
P2,100,20,1
P3,100,28,3
P4,103,24,2
P5,102,24,0
P6,101,36,0
P7,101,30,0
P8,100,26,1
P9,105,23,0
P10,100,29,5
P1,100,17,1
P2,100,17,0
P3,99,19,3
P4,97,12,1
P5,99,17,1
P6,99,18,1
P7,99,15,1
P8,98,21,1
P9,98,30,5
P10,99,19,1
P1,101,19,0
P2,100,31,0
P3,103,24,4
P4,105,17,4
P5,102,22,0
P6,101,29,5
P7,100,19,3
P8,102,16,0
P9,101,29,1
P10,103,19,3
P1,98,29,4
P2,100,37,2
P3,90,21,0
P4,101,19,0
P5,100,35,2
P6,100,20,0
P7,98,23,2
P8,100,22,1
P9,99,25,2
P10,102,23,3
P1,100,26,4
P2,101,25,0
P3,100,34,7
P4,100,16,2
P5,100,15,1
P6,102,18,3
P7,100,40,4
P8,101,29,4
P9,100,14,3
P10,100,27,2
P1,95,21,0
P2,93,19,2
P3,93,24,2
P4,101,15,1
P5,98,16,2
P6,102,19,1
P7,96,27,2
P8,95,31,1
P9,99,21,4
P10,97,29,0
P1,102,29,1
P2,102,23,1
P3,100,25,1
P4,104,22,0
P5,110,21,2
P6,104,22,3
P7,110,24,3
P8,102,24,1
P9,104,28,0
P10,103,26,3
P1,102,16,3
P2,102,27,0
P3,1o1,18,2
P4,109,25,0
P5,108,22,0
P6,103,25,2
P7,110,22,4
P8,105,22,1
P9,103,23,0
P10,108,30,2
P1,107,19,1
P2,104,22,2
P3,105,28,3
P4,103,28,0
P5,97,23,0
P6,101,22,1
P7,102,25,0
P8,102,29,1
P9,108,31,0
P10,105,24,0
P1,99,22,2
P2,106,19,1
P3,95,22,2
P4,101,19,3
P5,100,17,1
P6,99,26,0
P7,95,20,0
P8,102,23,1
P9,101,18,2
P10,101,18,3
P1,105,26,1
P2,103,20,0
P3,105,24,0
P4,106,24,0
P5,102,21,0
P6,107,19,0
P7,103,18,0
P8,106,21,0
P9,100,20,1
P10,100,23,2
P1,99,10,3
P2,91,15,2
P3,94,15,3
P4,91,21,0
P5,89,17,4
P6,98,20,2
P7,103,13,2
P8,98,13,3
P9,94,18,2
P10,95,16,3
P1,100,23,2
P2,93,24,0
P3,99,22,1
P4,98,21,3
P5,96,18,1
P6,102,25,1
P7,101,14,3
P8,100,25,1
P9,98,14,4
P10,91,21,1
P1,103,21,2
P2,102,23,2
P3,110,22,0
P4,106,22,1
P5,101,17,2
P6,103,20,0
P7,108,32,0
P8,105,28,1
P9,103,27,3
P10,109,18,3
P1,94,25,1
P2,100,19,1
P3,98,27,0
P4,93,17,2
P5,101,13,0
P6,93,23,0
P7,92,31,0
P8,90,78,2
P9,95,19,2
P10,95,19,1
P1,103,27,1
P2,101,32,2
P3,99,26,1
P4,101,23,3
P5,103,25,2
P6,101,24,4
P7,103,21,1
P8,106,19,2
P9,100,28,4
P10,99,28,1
P1,102,51,0
P2,103,35,0
P3,104,34,1
P4,103,28,3
P5,102,31,2
P6,105,41,0
P7,104,43,3
P8,101,31,1
P9,106,34,0
P10,105,33,1
P1,103,33,2
P2,101,31,0
P3,106,42,1
P4,101,30,1
P5,104,23,0
P6,102,27,1
P7,100,40,1
P8,103,30,2
P9,103,38,0
P10,102,35,2
P1,105,35,2
P2,107,35,0
P3,104,32,0
P4,106,31,0
P5,106,28,4
P6,105,28,4
P7,104,27,2
P8,107,29,2
P9,108,24,3
P10,110,30,0
P1,102,30,4
P2,100,23,3
P3,101,32,0
P4,99,29,0
P5,102,28,2
P6,101,34,0
P7,103,25,3
P8,100,31,1
P9,99,23,2
P10,102,30,2
P1,105,25,3
P2,107,39,1
P3,102,23,5
P4,104,28,2
P5,106,24,2
P6,107,28,2
P7,103,29,2
P8,105,31,0
P9,104,32,0
P10,106,29,1
P1,100,25,1
P2,100,24,2
P3,99,27,0
P4,102,28,2
P5,98,27,0
P6,101,20,4
P7,103,18,3
P8,99,23,1
P9,100,23,1
P10,102,16,0
P1,103,27,3
P2,105,20,0
P3,107,22,1
P4,101,25,1
P5,103,26,0
P6,105,24,2
P7,104,29,0
P8,106,29,1
P9,105,24,0
P10,104,32,0
P1,97,35,4
P2,93,36,1
P3,98,37,0
P4,100,29,2
P5,99,30,0
P6,97,38,0
P7,97,28,3
P8,98,40,2
P9,97,33,4
P10,99,35,3
P1,95,20,3
P2,97,22,2
P3,94,30,4
P4,95,26,0
P5,97,33,1
P6,100,22,0
P7,99,19,1
P8,94,35,4
P9,96,19,2
P10,98,21,2
P1,107,35,3
P2,109,37,0
P3,106,31,3
P4,107,28,0
P5,105,26,3
P6,107,28,2
P7,106,25,2
P8,105,31,4
P9,106,38,5
P10,108,29,3
